"TABLE_SCHEMA","TABLE_NAME","COLUMN_NAME","DATA_TYPE","CHARACTER_MAXIMUM_LENGTH","NUMERIC_PRECISION","NUMERIC_SCALE","IS_NULLABLE","ORDINAL_POSITION"
"contabilidad","tipo_transaccion_contable","tipo_asiento_predeterminado","nvarchar","50","","","NO","4"
"contabilidad","tipo_transaccion_contable","requiere_documento_origen","bit","","","","NO","5"
"contabilidad","tipo_transaccion_contable","permite_reversion","bit","","","","NO","6"
"contabilidad","tipo_transaccion_contable","activo","bit","","","","NO","7"
"contabilidad","tipo_transaccion_contable","usuario_creacion","nvarchar","100","","","NO","8"
"contabilidad","tipo_transaccion_contable","fecha_creacion","datetime2","","","","NO","9"
"contabilidad","tipo_transaccion_contable","usuario_modificacion","nvarchar","100","","","YES","10"
"contabilidad","tipo_transaccion_contable","fecha_modificacion","datetime2","","","","YES","11"
"creditos","aplicacion_pago_credito","id_aplicacion_pago_credito","bigint","","19","0","NO","1"
"creditos","aplicacion_pago_credito","id_pago_credito","bigint","","19","0","NO","2"
"creditos","aplicacion_pago_credito","rubro","nvarchar","30","","","NO","3"
"creditos","aplicacion_pago_credito","monto_aplicado","decimal","","18","2","NO","4"
"creditos","aplicacion_pago_credito","orden_aplicacion","int","","10","0","NO","5"
"creditos","aplicacion_pago_credito","fecha_creacion","datetime2","","","","NO","6"
"creditos","aplicacion_pago_cuota","id_aplicacion_pago_cuota","bigint","","19","0","NO","1"
"creditos","aplicacion_pago_cuota","id_pago_credito","bigint","","19","0","NO","2"
"creditos","aplicacion_pago_cuota","id_plan_pago_credito","bigint","","19","0","NO","3"
"creditos","aplicacion_pago_cuota","rubro","nvarchar","30","","","NO","4"
"creditos","aplicacion_pago_cuota","monto_aplicado","decimal","","18","2","NO","5"
"creditos","aplicacion_pago_cuota","orden_aplicacion","int","","10","0","NO","6"
"creditos","aplicacion_pago_cuota","fecha_creacion","datetime2","","","","NO","7"
"creditos","aprobacion_solicitud_credito","id_aprobacion_solicitud_credito","bigint","","19","0","NO","1"
"creditos","aprobacion_solicitud_credito","id_solicitud_credito","bigint","","19","0","NO","2"
"creditos","aprobacion_solicitud_credito","fecha_aprobacion","datetime2","","","","NO","3"
"creditos","aprobacion_solicitud_credito","monto_aprobado","decimal","","18","2","NO","4"
"creditos","aprobacion_solicitud_credito","plazo_meses","int","","10","0","NO","5"
"creditos","aprobacion_solicitud_credito","tasa_interes_anual","decimal","","12","6","NO","6"
"creditos","aprobacion_solicitud_credito","moneda","nvarchar","10","","","NO","7"
"creditos","aprobacion_solicitud_credito","usuario_aprobador","nvarchar","100","","","NO","8"
"creditos","aprobacion_solicitud_credito","resolucion","nvarchar","30","","","NO","9"
"creditos","aprobacion_solicitud_credito","observacion","nvarchar","500","","","YES","10"
"creditos","aprobacion_solicitud_credito","fecha_creacion","datetime2","","","","NO","11"
"creditos","asignacion_oficial_credito","id_asignacion_oficial_credito","bigint","","19","0","NO","1"
"creditos","asignacion_oficial_credito","id_credito","bigint","","19","0","NO","2"
"creditos","asignacion_oficial_credito","id_usuario_oficial","bigint","","19","0","NO","3"
"creditos","asignacion_oficial_credito","id_usuario_asigna","bigint","","19","0","YES","4"
"creditos","asignacion_oficial_credito","fecha_asignacion","datetime2","","","","NO","5"
"creditos","asignacion_oficial_credito","fecha_fin","datetime2","","","","YES","6"
"creditos","asignacion_oficial_credito","motivo","nvarchar","300","","","YES","7"
"creditos","asignacion_oficial_credito","observacion","nvarchar","500","","","YES","8"
"creditos","asignacion_oficial_credito","activo","bit","","","","NO","9"
"creditos","asignacion_oficial_credito","fecha_registro","datetime2","","","","NO","10"
"creditos","avaluo_garantia","id_avaluo_garantia","bigint","","19","0","NO","1"
"creditos","avaluo_garantia","id_garantia_credito","bigint","","19","0","NO","2"
"creditos","avaluo_garantia","fecha_avaluo","date","","","","NO","3"
"creditos","avaluo_garantia","valor_avaluo","decimal","","18","2","NO","4"
"creditos","avaluo_garantia","valor_realizacion","decimal","","18","2","YES","5"
"creditos","avaluo_garantia","nombre_perito","nvarchar","250","","","YES","6"
"creditos","avaluo_garantia","numero_registro_perito","nvarchar","100","","","YES","7"
"creditos","avaluo_garantia","vigente","bit","","","","NO","8"
"creditos","avaluo_garantia","observacion","nvarchar","500","","","YES","9"
"creditos","avaluo_garantia","fecha_creacion","datetime2","","","","NO","10"
"creditos","cargo_credito","id_cargo_credito","bigint","","19","0","NO","1"
"creditos","cargo_credito","id_credito","bigint","","19","0","NO","2"
"creditos","cargo_credito","id_plan_pago_credito","bigint","","19","0","YES","3"
"creditos","cargo_credito","codigo_tipo_cargo","nvarchar","50","","","NO","4"
"creditos","cargo_credito","monto_original","decimal","","18","2","NO","5"
"creditos","cargo_credito","monto_pagado","decimal","","18","2","NO","6"
"creditos","cargo_credito","monto_dispensado","decimal","","18","2","NO","7"
"creditos","cargo_credito","saldo_cargo","decimal","","18","2","NO","8"
"creditos","cargo_credito","fecha_cargo","datetime2","","","","NO","9"
"creditos","cargo_credito","estado_cargo","nvarchar","40","","","NO","10"
"creditos","cargo_credito","observacion","nvarchar","1000","","","YES","11"
"creditos","credito","id_credito","bigint","","19","0","NO","1"
"creditos","credito","cedula_id_cliente_ofic_ciclo","nvarchar","100","","","NO","2"
"creditos","credito","cedula_id_cliente","nvarchar","50","","","YES","3"
"creditos","credito","nom_cliente","nvarchar","250","","","YES","4"
"creditos","credito","tipo_agrupacion","tinyint","","3","0","NO","5"
"creditos","credito","garantia","nvarchar","50","","","YES","6"
"creditos","credito","oficina","nvarchar","20","","","YES","7"
"creditos","credito","fecha_desembolso","date","","","","YES","8"
"creditos","credito","fecha_vencimiento","date","","","","YES","9"
"creditos","credito","fecha_saneamiento","date","","","","YES","10"
"creditos","credito","estado_operativo","nvarchar","5","","","NO","11"
"creditos","credito","saldo_capital","decimal","","18","2","NO","12"
"creditos","credito","interes_acumulado","decimal","","18","2","NO","13"
"creditos","credito","interes_pagado","decimal","","18","2","NO","14"
"creditos","credito","mora_acumulada","decimal","","18","2","NO","15"
"creditos","credito","cargos_acumulados","decimal","","18","2","NO","16"
"creditos","credito","comision_acumulada","decimal","","18","2","NO","17"
"creditos","credito","comision_pagada","decimal","","18","2","NO","18"
"creditos","credito","activo","bit","","","","NO","19"
"creditos","credito","fecha_creacion","datetime2","","","","NO","20"
"creditos","credito","id_cliente","bigint","","19","0","YES","21"
"creditos","credito","id_solicitud_credito","bigint","","19","0","YES","22"
"creditos","credito","numero_credito","nvarchar","50","","","YES","23"
"creditos","credito","moneda","nvarchar","10","","","NO","24"
"creditos","credito","monto_aprobado","decimal","","18","2","NO","25"
"creditos","credito","plazo_meses","int","","10","0","NO","26"
"creditos","credito","tasa_interes_anual","decimal","","12","6","NO","27"
"creditos","credito","fecha_aprobacion","date","","","","YES","28"
"creditos","credito","fecha_cancelacion","date","","","","YES","29"
"creditos","credito","id_agrupacion_credito","bigint","","19","0","YES","30"
"creditos","credito_prorroga","id_credito_prorroga","bigint","","19","0","NO","1"
"creditos","credito_prorroga","id_credito","bigint","","19","0","NO","2"
"creditos","credito_prorroga","fecha_solicitud","date","","","","NO","3"
"creditos","credito_prorroga","fecha_aprobacion","date","","","","YES","4"
"creditos","credito_prorroga","plazo_anterior","int","","10","0","NO","5"
"creditos","credito_prorroga","plazo_nuevo","int","","10","0","NO","6"
"creditos","credito_prorroga","motivo","nvarchar","500","","","NO","7"
"creditos","credito_prorroga","estado_prorroga","nvarchar","30","","","NO","8"
"creditos","credito_prorroga","usuario_aprobador","nvarchar","100","","","YES","9"
"creditos","credito_prorroga","observacion","nvarchar","500","","","YES","10"
"creditos","credito_prorroga","fecha_creacion","datetime2","","","","NO","11"
"creditos","credito_reestructuracion","id_credito_reestructuracion","bigint","","19","0","NO","1"
"creditos","credito_reestructuracion","id_credito","bigint","","19","0","NO","2"
"creditos","credito_reestructuracion","fecha_solicitud","date","","","","NO","3"
"creditos","credito_reestructuracion","fecha_aprobacion","date","","","","YES","4"
"creditos","credito_reestructuracion","tasa_interes_anterior","decimal","","12","6","YES","5"
"creditos","credito_reestructuracion","tasa_interes_nueva","decimal","","12","6","YES","6"
"creditos","credito_reestructuracion","plazo_anterior","int","","10","0","NO","7"
"creditos","credito_reestructuracion","plazo_nuevo","int","","10","0","NO","8"
"creditos","credito_reestructuracion","requiere_garantia_adicional","bit","","","","NO","9"
"creditos","credito_reestructuracion","motivo","nvarchar","500","","","NO","10"
"creditos","credito_reestructuracion","estado_reestructuracion","nvarchar","30","","","NO","11"
"creditos","credito_reestructuracion","usuario_aprobador","nvarchar","100","","","YES","12"
"creditos","credito_reestructuracion","observacion","nvarchar","500","","","YES","13"
"creditos","credito_reestructuracion","fecha_creacion","datetime2","","","","NO","14"
"creditos","credito_refinanciamiento","id_credito_refinanciamiento","bigint","","19","0","NO","1"
"creditos","credito_refinanciamiento","id_credito_origen","bigint","","19","0","NO","2"
"creditos","credito_refinanciamiento","id_credito_nuevo","bigint","","19","0","YES","3"
"creditos","credito_refinanciamiento","fecha_solicitud","date","","","","NO","4"
"creditos","credito_refinanciamiento","fecha_aprobacion","date","","","","YES","5"
"creditos","credito_refinanciamiento","monto_saldo_refinanciado","decimal","","18","2","NO","6"
"creditos","credito_refinanciamiento","motivo","nvarchar","500","","","NO","7"
"creditos","credito_refinanciamiento","estado_refinanciamiento","nvarchar","30","","","NO","8"
"creditos","credito_refinanciamiento","usuario_aprobador","nvarchar","100","","","YES","9"
"creditos","credito_refinanciamiento","observacion","nvarchar","500","","","YES","10"
"creditos","credito_refinanciamiento","fecha_creacion","datetime2","","","","NO","11"
"creditos","desembolso_credito","id_desembolso_credito","bigint","","19","0","NO","1"
"creditos","desembolso_credito","id_credito","bigint","","19","0","NO","2"
"creditos","desembolso_credito","fecha_desembolso","date","","","","NO","3"
"creditos","desembolso_credito","monto_desembolsado","decimal","","18","2","NO","4"
"creditos","desembolso_credito","moneda","nvarchar","10","","","NO","5"
"creditos","desembolso_credito","tipo_cambio_oficial","decimal","","18","6","YES","6"
"creditos","desembolso_credito","tipo_cambio_institucion","decimal","","18","6","YES","7"
"creditos","desembolso_credito","forma_desembolso","nvarchar","30","","","NO","8"
"creditos","desembolso_credito","observacion","nvarchar","500","","","YES","9"
"creditos","desembolso_credito","fecha_creacion","datetime2","","","","NO","10"
"creditos","documento_expediente","id_documento_expediente","bigint","","19","0","NO","1"
"creditos","documento_expediente","id_expediente_credito","bigint","","19","0","NO","2"
"creditos","documento_expediente","id_tipo_documento_expediente","bigint","","19","0","NO","3"
"creditos","documento_expediente","nombre_archivo","nvarchar","255","","","YES","4"
"creditos","documento_expediente","ruta_archivo","nvarchar","500","","","YES","5"
"creditos","documento_expediente","fecha_documento","date","","","","YES","6"
"creditos","documento_expediente","fecha_vencimiento","date","","","","YES","7"
"creditos","documento_expediente","entregado","bit","","","","NO","8"
"creditos","documento_expediente","validado","bit","","","","NO","9"
"creditos","documento_expediente","observacion","nvarchar","500","","","YES","10"
"creditos","documento_expediente","usuario_registro","nvarchar","100","","","YES","11"
"creditos","documento_expediente","fecha_creacion","datetime2","","","","NO","12"
"creditos","expediente_credito","id_expediente_credito","bigint","","19","0","NO","1"
"creditos","expediente_credito","id_credito","bigint","","19","0","NO","2"
"creditos","expediente_credito","codigo_expediente","nvarchar","50","","","NO","3"
"creditos","expediente_credito","estado_expediente","nvarchar","30","","","NO","4"
"creditos","expediente_credito","fecha_apertura","datetime2","","","","NO","5"
"creditos","expediente_credito","fecha_cierre","datetime2","","","","YES","6"
"creditos","expediente_credito","observacion","nvarchar","500","","","YES","7"
"creditos","expediente_credito","usuario_responsable","nvarchar","100","","","YES","8"
"creditos","expediente_credito","fecha_creacion","datetime2","","","","NO","9"
"creditos","garantia_credito","id_garantia_credito","bigint","","19","0","NO","1"
"creditos","garantia_credito","id_credito","bigint","","19","0","NO","2"
"creditos","garantia_credito","id_tipo_garantia","bigint","","19","0","NO","3"
"creditos","garantia_credito","descripcion_garantia","nvarchar","500","","","NO","4"
"creditos","garantia_credito","nombre_garante","nvarchar","250","","","YES","5"
"creditos","garantia_credito","documento_garante","nvarchar","50","","","YES","6"
"creditos","garantia_credito","valor_declarado","decimal","","18","2","YES","7"
"creditos","garantia_credito","valor_realizacion","decimal","","18","2","YES","8"
"creditos","garantia_credito","fecha_constitucion","date","","","","YES","9"
"creditos","garantia_credito","fecha_vencimiento","date","","","","YES","10"
"creditos","garantia_credito","numero_escritura","nvarchar","100","","","YES","11"
"creditos","garantia_credito","inscrita_registro","bit","","","","NO","12"
"creditos","garantia_credito","es_principal","bit","","","","NO","13"
"creditos","garantia_credito","activa","bit","","","","NO","14"
"creditos","garantia_credito","observacion","nvarchar","500","","","YES","15"
"creditos","garantia_credito","fecha_creacion","datetime2","","","","NO","16"
"creditos","historial_asignacion_oficial_credito","id_historial_asignacion_oficial_credito","bigint","","19","0","NO","1"
"creditos","historial_asignacion_oficial_credito","id_credito","bigint","","19","0","NO","2"
"creditos","historial_asignacion_oficial_credito","id_usuario_oficial_anterior","bigint","","19","0","YES","3"
"creditos","historial_asignacion_oficial_credito","id_usuario_oficial_nuevo","bigint","","19","0","YES","4"
"creditos","historial_asignacion_oficial_credito","id_usuario_accion","bigint","","19","0","YES","5"
"creditos","historial_asignacion_oficial_credito","fecha_accion","datetime2","","","","NO","6"
"creditos","historial_asignacion_oficial_credito","tipo_accion","nvarchar","30","","","NO","7"
"creditos","historial_asignacion_oficial_credito","motivo","nvarchar","300","","","YES","8"
"creditos","historial_asignacion_oficial_credito","observacion","nvarchar","500","","","YES","9"
"creditos","pago_credito","id_pago_credito","bigint","","19","0","NO","1"
"creditos","pago_credito","id_credito","bigint","","19","0","NO","2"
"creditos","pago_credito","fecha_pago","datetime2","","","","NO","3"
"creditos","pago_credito","monto_pagado","decimal","","18","2","NO","4"
"creditos","pago_credito","moneda_pago","nvarchar","10","","","NO","5"
"creditos","pago_credito","tipo_cambio_aplicado","decimal","","18","6","YES","6"
"creditos","pago_credito","forma_pago","nvarchar","30","","","NO","7"
"creditos","pago_credito","numero_recibo","nvarchar","50","","","YES","8"
"creditos","pago_credito","observacion","nvarchar","500","","","YES","9"
"creditos","pago_credito","fecha_creacion","datetime2","","","","NO","10"
"creditos","pago_credito","es_mismo_abonante","bit","","","","NO","11"
"creditos","pago_credito","nombre_abonante","nvarchar","250","","","YES","12"
"creditos","pago_credito","cedula_abonante","nvarchar","50","","","YES","13"
"creditos","pago_credito","telefono_abonante","nvarchar","50","","","YES","14"
"creditos","pago_credito","recibo_manual","nvarchar","50","","","YES","15"
"creditos","pago_credito","monto_recibido_nio","decimal","","18","2","NO","16"
"creditos","pago_credito","monto_recibido_usd","decimal","","18","2","NO","17"
"creditos","pago_credito","monto_aplicado_moneda_credito","decimal","","18","2","YES","18"
"creditos","pago_credito","detalle_tipo_cambio","nvarchar","50","","","YES","19"
"creditos","pago_credito","estado_pago","nvarchar","20","","","NO","20"
"creditos","pago_credito","anulado","bit","","","","NO","21"
"creditos","pago_credito","fecha_anulacion","datetime2","","","","YES","22"
"creditos","pago_credito","usuario_anulacion","nvarchar","100","","","YES","23"
"creditos","pago_credito","motivo_anulacion","nvarchar","1000","","","YES","24"
"creditos","persona_vinculada_credito","id_persona_vinculada_credito","bigint","","19","0","NO","1"
"creditos","persona_vinculada_credito","id_credito","bigint","","19","0","NO","2"
"creditos","persona_vinculada_credito","tipo_persona","nvarchar","20","","","NO","3"
"creditos","persona_vinculada_credito","nombres_razon_social","nvarchar","250","","","NO","4"
"creditos","persona_vinculada_credito","numero_identificacion","nvarchar","50","","","YES","5"
"creditos","persona_vinculada_credito","tipo_vinculacion","nvarchar","100","","","NO","6"
"creditos","persona_vinculada_credito","cargo_relacion","nvarchar","150","","","YES","7"
"creditos","persona_vinculada_credito","porcentaje_participacion","decimal","","8","4","YES","8"
"creditos","persona_vinculada_credito","pais_residencia","nvarchar","100","","","YES","9"
"creditos","persona_vinculada_credito","observacion","nvarchar","500","","","YES","10"
"creditos","persona_vinculada_credito","activo","bit","","","","NO","11"
"creditos","persona_vinculada_credito","fecha_creacion","datetime2","","","","NO","12"
"creditos","plan_pago_credito","id_plan_pago_credito","bigint","","19","0","NO","1"
"creditos","plan_pago_credito","cedula_id_cliente_ofic_ciclo","nvarchar","100","","","NO","2"
"creditos","plan_pago_credito","numero_cuota","int","","10","0","NO","3"
"creditos","plan_pago_credito","fecha_cuota","date","","","","NO","4"
"creditos","plan_pago_credito","saldo_capital_cuota","decimal","","18","2","NO","5"
"creditos","plan_pago_credito","saldo_interes_cuota","decimal","","18","2","NO","6"
"creditos","plan_pago_credito","saldo_comision_cuota","decimal","","18","2","NO","7"
"creditos","plan_pago_credito","saldo_mora_cuota","decimal","","18","2","NO","8"
"creditos","plan_pago_credito","pagada","bit","","","","NO","9"
"creditos","plan_pago_credito","fecha_creacion","datetime2","","","","NO","10"
"creditos","plan_pago_credito","capital_programado","decimal","","18","2","NO","11"
"creditos","plan_pago_credito","interes_programado","decimal","","18","2","NO","12"
"creditos","plan_pago_credito","comision_programada","decimal","","18","2","NO","13"
"creditos","plan_pago_credito","mora_programada","decimal","","18","2","NO","14"
"creditos","plan_pago_credito","capital_pagado_cuota","decimal","","18","2","NO","15"
"creditos","plan_pago_credito","interes_pagado_cuota","decimal","","18","2","NO","16"
"creditos","plan_pago_credito","comision_pagada_cuota","decimal","","18","2","NO","17"
"creditos","plan_pago_credito","mora_pagada_cuota","decimal","","18","2","NO","18"
"creditos","plan_pago_credito","dias_mora","int","","10","0","NO","19"
"creditos","plan_pago_credito","estado_cuota","nvarchar","20","","","NO","20"
"creditos","plan_pago_credito","id_credito","bigint","","19","0","YES","21"
"creditos","plan_pago_credito","capital_dispensado_cuota","decimal","","18","2","NO","22"
"creditos","plan_pago_credito","interes_dispensado_cuota","decimal","","18","2","NO","23"
"creditos","plan_pago_credito","comision_dispensada_cuota","decimal","","18","2","NO","24"
"creditos","plan_pago_credito","mora_dispensada_cuota","decimal","","18","2","NO","25"
"creditos","plan_pago_credito","dias_interes","int","","10","0","NO","26"
"creditos","plan_pago_credito","deslizamiento_programado","decimal","","18","2","NO","27"
"creditos","producto_crediticio","id_producto_crediticio","bigint","","19","0","NO","1"
"creditos","producto_crediticio","codigo_producto","nvarchar","40","","","NO","2"
"creditos","producto_crediticio","nombre_producto","nvarchar","150","","","NO","3"
"creditos","producto_crediticio","descripcion","nvarchar","500","","","YES","4"
"creditos","producto_crediticio","moneda","nvarchar","10","","","NO","5"
"creditos","producto_crediticio","monto_minimo","decimal","","18","2","NO","6"
"creditos","producto_crediticio","monto_maximo","decimal","","18","2","NO","7"
"creditos","producto_crediticio","plazo_minimo_meses","int","","10","0","NO","8"
"creditos","producto_crediticio","plazo_maximo_meses","int","","10","0","NO","9"
"creditos","producto_crediticio","tasa_interes_anual","decimal","","18","6","NO","10"
"creditos","producto_crediticio","tasa_mora_anual","decimal","","18","6","NO","11"
"creditos","producto_crediticio","tasa_comision","decimal","","18","6","NO","12"
"creditos","producto_crediticio","tasa_deslizamiento_anual","decimal","","18","6","NO","13"
"creditos","producto_crediticio","frecuencia_pago","nvarchar","30","","","NO","14"
"creditos","producto_crediticio","tipo_cuota","nvarchar","30","","","NO","15"
"creditos","producto_crediticio","requiere_garantia","bit","","","","NO","16"
"creditos","producto_crediticio","requiere_fiador","bit","","","","NO","17"
"creditos","producto_crediticio","requiere_visita","bit","","","","NO","18"
"creditos","producto_crediticio","requiere_comite_desde","decimal","","18","2","NO","19"
"creditos","producto_crediticio","reglas_json","nvarchar","-1","","","YES","20"
"creditos","producto_crediticio","activo","bit","","","","NO","21"
"creditos","producto_crediticio","usuario_registro","nvarchar","120","","","NO","22"
"creditos","producto_crediticio","fecha_registro","datetime2","","","","NO","23"
"creditos","producto_crediticio","fecha_modificacion","datetime2","","","","YES","24"
"creditos","recibo_pago_credito","id_recibo_pago_credito","bigint","","19","0","NO","1"
"creditos","recibo_pago_credito","id_pago_credito","bigint","","19","0","NO","2"
"creditos","recibo_pago_credito","numero_recibo","nvarchar","50","","","NO","3"
"creditos","recibo_pago_credito","fecha_recibo","datetime2","","","","NO","4"
"creditos","recibo_pago_credito","monto_total","decimal","","18","2","NO","5"
"creditos","recibo_pago_credito","moneda","nvarchar","10","","","NO","6"
"creditos","recibo_pago_credito","observacion","nvarchar","500","","","YES","7"
"creditos","recibo_pago_credito","fecha_creacion","datetime2","","","","NO","8"
"creditos","solicitud_credito","id_solicitud_credito","bigint","","19","0","NO","1"
"creditos","solicitud_credito","id_cliente","bigint","","19","0","NO","2"
"creditos","solicitud_credito","numero_solicitud","nvarchar","50","","","NO","3"
"creditos","solicitud_credito","fecha_solicitud","date","","","","NO","4"
"creditos","solicitud_credito","monto_solicitado","decimal","","18","2","NO","5"
"creditos","solicitud_credito","plazo_meses","int","","10","0","NO","6"
"creditos","solicitud_credito","tasa_interes_anual","decimal","","12","6","NO","7"
"creditos","solicitud_credito","moneda","nvarchar","10","","","NO","8"
"creditos","solicitud_credito","destino_credito","nvarchar","250","","","YES","9"
"creditos","solicitud_credito","estado_solicitud","nvarchar","30","","","NO","10"
"creditos","solicitud_credito","observacion","nvarchar","500","","","YES","11"
"creditos","solicitud_credito","fecha_creacion","datetime2","","","","NO","12"
"creditos","solicitud_credito","producto_credito","nvarchar","100","","","YES","13"
"creditos","solicitud_credito","frecuencia_pago","nvarchar","30","","","NO","14"
"creditos","solicitud_credito","tipo_cuota","nvarchar","30","","","NO","15"
"creditos","solicitud_credito","cuota_estimada","decimal","","18","2","NO","16"
"creditos","solicitud_credito","ingresos_declarados","decimal","","18","2","NO","17"
"creditos","solicitud_credito","egresos_declarados","decimal","","18","2","NO","18"
"creditos","solicitud_credito","capacidad_pago","decimal","","18","2","NO","19"
"creditos","solicitud_credito","fuente_ingreso","nvarchar","200","","","YES","20"
"creditos","solicitud_credito","actividad_financiada","nvarchar","200","","","YES","21"
"creditos","solicitud_credito","tipo_garantia","nvarchar","80","","","YES","22"
"creditos","solicitud_credito","descripcion_garantia","nvarchar","500","","","YES","23"
"creditos","solicitud_credito","valor_garantia","decimal","","18","2","NO","24"
"creditos","solicitud_credito","nombre_fiador","nvarchar","200","","","YES","25"
"creditos","solicitud_credito","cedula_fiador","nvarchar","50","","","YES","26"
"creditos","solicitud_credito","telefono_fiador","nvarchar","50","","","YES","27"
"creditos","solicitud_credito","requiere_comite","bit","","","","NO","28"
"creditos","solicitud_credito","nivel_riesgo","nvarchar","20","","","NO","29"
"creditos","solicitud_credito","clasificacion_conami","nvarchar","10","","","NO","30"
"creditos","solicitud_credito","checklist_json","nvarchar","-1","","","YES","31"
"creditos","solicitud_credito","plan_generado_json","nvarchar","-1","","","YES","32"
"creditos","solicitud_credito","usuario_registro","nvarchar","100","","","YES","33"
"creditos","solicitud_credito","fecha_actualizacion","datetime2","","","","YES","34"
"creditos","solicitud_credito","usuario_resolucion","nvarchar","100","","","YES","35"
"creditos","solicitud_credito","fecha_resolucion","datetime2","","","","YES","36"
"creditos","solicitud_credito","etapa_prospeccion","nvarchar","30","","","NO","37"
"creditos","solicitud_credito","motivo_descarte_rechazo","nvarchar","500","","","YES","38"
"creditos","solicitud_credito","promotor_credito","nvarchar","150","","","YES","39"
"creditos","solicitud_credito","sucursal_credito","nvarchar","100","","","YES","40"
"creditos","solicitud_credito","oficina_credito","nvarchar","100","","","YES","41"
"creditos","solicitud_credito","fecha_sistema_prospeccion","date","","","","NO","42"
"creditos","solicitud_credito","referencias_prospeccion_json","nvarchar","-1","","","YES","43"
"creditos","solicitud_credito","visitas_prospeccion_json","nvarchar","-1","","","YES","44"
"creditos","solicitud_credito","fecha_consulta_central","date","","","","YES","45"
"creditos","solicitud_credito","central_riesgo_json","nvarchar","-1","","","YES","46"
"creditos","solicitud_credito","tasa_comision_ascc","decimal","","18","6","NO","47"
"creditos","solicitud_credito","tasa_deslizamiento_anual","decimal","","18","6","NO","48"
"creditos","solicitud_credito","tasa_mora_anual","decimal","","18","6","NO","49"
"creditos","tasa_variable_credito","id_tasa_variable","bigint","","19","0","NO","1"
"creditos","tasa_variable_credito","id_credito","bigint","","19","0","NO","2"
"creditos","tasa_variable_credito","fecha_tasa","date","","","","NO","3"
"creditos","tasa_variable_credito","tasa_interes_anual","decimal","","18","6","NO","4"
"creditos","tasa_variable_credito","observacion","nvarchar","300","","","YES","5"
"creditos","tasa_variable_credito","usuario_registro","nvarchar","100","","","YES","6"
"creditos","tasa_variable_credito","fecha_registro","datetime2","","","","NO","7"
"cumplimiento","alerta_cumplimiento","id_alerta_cumplimiento","bigint","","19","0","NO","1"
"cumplimiento","alerta_cumplimiento","id_persona_pla","bigint","","19","0","NO","2"
"cumplimiento","alerta_cumplimiento","id_matriz_alerta_temprana","bigint","","19","0","NO","3"
"cumplimiento","alerta_cumplimiento","modulo_origen","nvarchar","50","","","NO","4"
"cumplimiento","alerta_cumplimiento","id_referencia","bigint","","19","0","YES","5"
"cumplimiento","alerta_cumplimiento","fecha_alerta","datetime2","","","","NO","6"
"cumplimiento","alerta_cumplimiento","estado_alerta","nvarchar","30","","","NO","7"
"cumplimiento","alerta_cumplimiento","detalle_alerta","nvarchar","1000","","","YES","8"
"cumplimiento","alerta_cumplimiento","usuario_registro","nvarchar","100","","","YES","9"
"cumplimiento","alerta_cumplimiento_cliente","id_alerta_cumplimiento","bigint","","19","0","NO","1"
"cumplimiento","alerta_cumplimiento_cliente","id_cliente","bigint","","19","0","NO","2"
"cumplimiento","alerta_cumplimiento_cliente","id_expediente_regulatorio","bigint","","19","0","YES","3"
"cumplimiento","alerta_cumplimiento_cliente","tipo_alerta","nvarchar","40","","","NO","4"
"cumplimiento","alerta_cumplimiento_cliente","severidad","nvarchar","20","","","NO","5"
"cumplimiento","alerta_cumplimiento_cliente","descripcion","nvarchar","500","","","NO","6"
"cumplimiento","alerta_cumplimiento_cliente","fuente_alerta","nvarchar","100","","","YES","7"
"cumplimiento","alerta_cumplimiento_cliente","estado_alerta","nvarchar","20","","","NO","8"
"cumplimiento","alerta_cumplimiento_cliente","fecha_alerta","datetime2","","","","NO","9"
"cumplimiento","alerta_cumplimiento_cliente","fecha_resolucion","datetime2","","","","YES","10"
"cumplimiento","alerta_cumplimiento_cliente","resolucion","nvarchar","500","","","YES","11"
"cumplimiento","alerta_cumplimiento_cliente","usuario_resolucion","nvarchar","100","","","YES","12"
"cumplimiento","alerta_cumplimiento_cliente","fecha_registro","datetime2","","","","NO","13"
"cumplimiento","bitacora_debida_diligencia_cliente","id_bitacora_debida_diligencia","bigint","","19","0","NO","1"
"cumplimiento","bitacora_debida_diligencia_cliente","id_cliente","bigint","","19","0","NO","2"
"cumplimiento","bitacora_debida_diligencia_cliente","id_expediente_regulatorio","bigint","","19","0","YES","3"
"cumplimiento","bitacora_debida_diligencia_cliente","etapa_diligencia","nvarchar","40","","","NO","4"
"cumplimiento","bitacora_debida_diligencia_cliente","estado_etapa","nvarchar","20","","","NO","5"
"cumplimiento","bitacora_debida_diligencia_cliente","detalle","nvarchar","500","","","YES","6"
"cumplimiento","bitacora_debida_diligencia_cliente","fecha_evento","datetime2","","","","NO","7"
"cumplimiento","bitacora_debida_diligencia_cliente","usuario_evento","nvarchar","100","","","YES","8"
"cumplimiento","caso_cumplimiento","id_caso_cumplimiento","bigint","","19","0","NO","1"
"cumplimiento","caso_cumplimiento","id_persona_pla","bigint","","19","0","NO","2"
"cumplimiento","caso_cumplimiento","id_alerta_cumplimiento","bigint","","19","0","YES","3"
"cumplimiento","caso_cumplimiento","tipo_caso","nvarchar","50","","","NO","4"
"cumplimiento","caso_cumplimiento","estado_caso","nvarchar","30","","","NO","5"
