"foreign_key","parent_schema","parent_table","parent_column","referenced_schema","referenced_table","referenced_column"
"FK_gestion_cobranza_credito_canal","cobranza","gestion_cobranza_credito","codigo_canal_gestion_cobranza","cobranza","canal_gestion_cobranza","codigo_canal_gestion_cobranza"
"FK_gestion_cobranza_credito_credito","cobranza","gestion_cobranza_credito","id_credito","creditos","credito","id_credito"
"FK_gestion_cobranza_credito_dispensa","cobranza","gestion_cobranza_credito","id_solicitud_dispensa_credito","operacion","solicitud_dispensa_credito","id_solicitud_dispensa_credito"
"FK_gestion_cobranza_credito_persona_vinculada","cobranza","gestion_cobranza_credito","id_persona_vinculada_credito","creditos","persona_vinculada_credito","id_persona_vinculada_credito"
"FK_gestion_cobranza_credito_resultado","cobranza","gestion_cobranza_credito","codigo_resultado_gestion_cobranza","cobranza","resultado_gestion_cobranza","codigo_resultado_gestion_cobranza"
"FK_gestion_cobranza_credito_tipo","cobranza","gestion_cobranza_credito","codigo_tipo_gestion_cobranza","cobranza","tipo_gestion_cobranza","codigo_tipo_gestion_cobranza"
"FK_gestion_cobranza_credito_tipo_contacto","cobranza","gestion_cobranza_credito","codigo_tipo_contacto_gestion_cobranza","cobranza","tipo_contacto_gestion_cobranza","codigo_tipo_contacto_gestion_cobranza"
"FK_promesa_pago_credito_credito","cobranza","promesa_pago_credito","id_credito","creditos","credito","id_credito"
"FK_promesa_pago_credito_estado","cobranza","promesa_pago_credito","codigo_estado_promesa_pago","cobranza","estado_promesa_pago","codigo_estado_promesa_pago"
"FK_promesa_pago_credito_gestion","cobranza","promesa_pago_credito","id_gestion_cobranza_credito","cobranza","gestion_cobranza_credito","id_gestion_cobranza_credito"
"FK_promesa_pago_credito_pago","cobranza","promesa_pago_credito","id_pago_credito","creditos","pago_credito","id_pago_credito"
"FK_factura_proveedor_asiento","compras","factura_proveedor","id_asiento","contabilidad","asiento","id_asiento"
"FK_factura_proveedor_documento_pagar","compras","factura_proveedor","id_documento_pagar","cxp","documento_pagar","id_documento_pagar"
"FK_factura_proveedor_empresa","compras","factura_proveedor","id_empresa","empresa","empresa","id_empresa"
